stock,price,sim1_direction,sim2_direction,sim3_direction,sim4_direction,sim5_direction,RSI,RSIRev,fair_value_mult,geomean,sharpe
FRT,120.55999755859375,0,0,0,0,0,0.4519615692554043,0.5480384307445957,0.30812101910828027,0.8672529313232831,0.16757266833480317
FSBW,44.06999969482422,1,1,1,1,1,0.833466773418735,0.16653322658126501,0.8045382165605095,0.6712730318257957,0.5981821728767739
FSLR,233.05999755859375,0,0,0,0,0,0.2365892714171337,0.7634107285828663,0.07882165605095541,0.3609715242881072,0.5793579439823701
FTNT,162.35000610351562,1,1,1,1,1,0.9083266613290633,0.09167333867093674,0.9713375796178344,1.0,0.9998426352449766
FTV,63.599998474121094,1,1,1,1,1,0.8354683746997598,0.16453162530024024,0.9116242038216561,0.8421273031825796,0.43187135799700677
FUVV,9.999999747378752e-05,0,0,0,0,0,0.5827633378932968,0.4172366621067032,0.12301767104666969,0.501200192030725,0.5827871912519198
FXI,32.4900016784668,0,0,0,0,0,0.12930344275420336,0.8706965572457966,0.26512738853503187,0.08752093802345058,0.21391618926441328
GD,376.8800048828125,1,1,1,1,1,0.9251401120896717,0.07485988791032827,0.9920382165605095,0.7969011725293133,0.6497721357175863
GDDY,85.61000061035156,1,1,1,1,1,0.566453162530024,0.433546837469976,0.8455414012738853,0.15159128978224456,0.47777294984884494
GDX,78.73999786376953,1,1,1,1,1,0.3542834267413931,0.6457165732586069,0.35509554140127386,0.04187604690117253,0.47700518126648195
GE,378.67999267578125,1,1,1,1,1,0.9651721377101682,0.03482786228983181,0.910031847133758,0.7437185929648241,0.46353457993382796
GEHC,64.83999633789062,1,1,1,1,1,0.544,0.45599999999999996,0.5770528683914511,0.12810457516339868,0.23729741510618535
GEN,26.600000381469727,1,1,1,1,1,0.8394715772618094,0.16052842273819057,0.9633757961783439,0.9660804020100503,0.47085108291498107
GEV,1152.0400390625,1,1,1,1,1,0.581981981981982,0.41801801801801797,0.7908611599297012,0.597752808988764,2.079589368630753
GFI,34.61000061035156,1,1,1,1,1,0.2602081665332266,0.7397918334667735,0.30971337579617836,0.06113902847571189,0.6642705913758095
GGEI,9.999999747378752e-05,0,0,0,0,0,0.5674539631705364,0.4325460368294636,0.06648089171974522,0.7539782244556114,0.5548638366927173
GIL,51.790000915527344,0,0,0,0,0,0.177742193755004,0.822257806244996,0.09036624203821655,0.05737018425460637,0.3842797705217401
GILD,129.61000061035156,1,1,1,1,1,0.6369095276220976,0.3630904723779024,0.7356687898089171,0.2876884422110553,0.4302606327509393
GIS,36.119998931884766,1,1,1,1,1,0.7081665332265813,0.2918334667734187,0.7432324840764332,0.16331658291457288,-0.03608637033303472
GL,176.97999572753906,1,1,1,1,1,0.923138510808647,0.07686148919135305,0.7838375796178344,0.9175041876046901,0.5473697353423812
GLD,382.1300048828125,1,1,1,1,1,0.2710168134507606,0.7289831865492393,0.4068471337579618,0.005862646566164154,0.7548932436384914
GLOB,30.950000762939453,0,0,1,0,0,0.22177742193755004,0.77822257806245,0.29578025477707004,0.05820770519262981,0.19205165523716164
GLW,194.8000030517578,0,0,0,0,0,0.33146517213771015,0.6685348278622898,0.011146496815286623,0.9229480737018425,0.8906316900706726
GM,77.8499984741211,0,0,0,0,0,0.35028022417934346,0.6497197758206565,0.30851910828025475,0.32830820770519265,0.5084796698155469
GMED,80.5,1,1,1,1,1,0.41393114491593275,0.5860688550840673,0.43511146496815284,0.23869346733668342,0.5117807122071749
GNRC,257.80999755859375,0,0,0,0,0,0.2930344275420336,0.7069655724579664,0.10230891719745223,0.8509212730318257,0.6670262234128754
GOOG,364.8999938964844,0,0,0,0,0,0.45076060848678945,0.5492393915132106,0.7762738853503185,0.6306532663316583,0.9590914899851282
GPC,128.66000366210938,1,1,1,1,1,0.9767814251401121,0.023218574859887875,0.9976114649681529,0.8371021775544388,0.32585255150510206
GPN,77.41000366210938,1,1,1,1,1,0.910728582866293,0.08927141713370701,0.9984076433121019,0.7005862646566164,0.21171179216966315
GRAB,3.8499999046325684,1,1,1,1,1,0.906407487401008,0.09359251259899204,0.9201710620099787,0.3846755277560594,-0.031132819637141863
GRMN,245.22000122070312,1,1,1,1,1,0.6901521216973578,0.30984787830264215,0.8495222929936306,0.5079564489112228,0.8529759181665059
GS,1055.2900390625,0,0,0,0,0,0.5128102481985588,0.4871897518014412,0.4753184713375796,0.7298994974874372,0.8806552269927733
GSK,53.09000015258789,1,1,1,1,1,0.5976781425140112,0.4023218574859888,0.7635350318471338,0.31909547738693467,0.41378345717636156
GWW,1370.1600341796875,1,1,1,1,1,0.765812650120096,0.23418734987990397,0.7062101910828026,0.8546901172529313,0.8301150780766998
HAL,33.0,0,0,0,0,0,0.03042433947157726,0.9695756605284227,0.057722929936305734,0.292713567839196,0.21571718226313127
HBAN,17.889999389648438,1,1,1,1,1,0.8474779823859088,0.15252201761409123,0.8017515923566879,0.5984087102177554,0.5086442482499148
HCA,417.07000732421875,1,1,1,1,1,0.7830264211369096,0.21697357886309043,0.9613853503184714,0.14112227805695143,0.7067994747718875
HD,350.6499938964844,1,1,1,1,1,0.7269815852682145,0.27301841473178545,0.8837579617834395,0.4472361809045226,0.6158388145762325
HDB,27.399999618530273,1,1,1,1,1,0.944755804643715,0.055244195356285,0.991640127388535,0.2847571189279732,0.35179193338916437
HEINY,43.18000030517578,1,1,1,1,1,0.844675740592474,0.15532425940752603,0.9414808917197452,0.6486599664991625,0.16758544123809047
HESAY,186.27999877929688,1,1,1,1,1,0.31705364291433147,0.6829463570856685,0.24203821656050956,0.038525963149078725,0.7452428342721777
