stock,price,direction,RSI,RSIRev,fair_value_mult,geomean,sharpe,weighted_sharpe
NVCR,12.770000457763672,1,0.45770171149144256,0.5422982885085574,0.575801749271137,0.03824289405684755,0.26510633416487694,1.4035426313704271
NVDA,465.6600036621094,0,0.28337330135891287,0.7166266986410872,0.332670906200318,0.27842809364548493,1.2784095599630643,2.8296973723340857
NVEE,102.02999877929688,1,0.701039168665068,0.298960831334932,0.7228628230616302,0.3202341137123746,0.7782181993022274,1.1734897026541908
NVO,99.62999725341797,0,0.297761790567546,0.702238209432454,0.8593004769475358,0.6810200668896321,0.9293550940886685,1.4853435260574597
ODFL,394.7900085449219,0,0.34492406075139886,0.6550759392486012,0.541335453100159,0.45108695652173914,0.9853223165787378,2.6929133438849036
OKTA,72.69000244140625,1,0.4840649428743235,0.5159350571256764,0.6028622540250447,0.26851255634256277,0.5872339823704534,1.9277178878751084
OPEN,3.380000114440918,1,0.980209545983702,0.019790454016297976,0.9690721649484536,0.7249666221628839,0.16819026959360378,1.576586250084701
ORCL,114.52999877929688,1,0.5267785771382894,0.47322142286171065,0.8859300476947536,0.3612040133779264,0.6393515745028078,1.4253119359102637
PAC,149.69000244140625,1,0.7889688249400479,0.21103117505995206,0.994435612082671,0.4214046822742475,0.5838273873774052,1.1850372946441836
PANW,292.7799987792969,1,0.8677058353317346,0.13229416466826538,0.9602543720190779,0.729933110367893,0.9279999405252598,2.307753040349586
PAYC,182.1199951171875,1,0.18475559237779618,0.8152444076222038,0.6206754530477759,0.029513888888888888,0.7852064229968829,2.822554279258508
PEP,167.94000244140625,1,0.5459632294164668,0.4540367705835332,0.9733704292527822,0.09908026755852843,0.6335995002680339,1.4891680541751178
PG,146.75999450683594,0,0.13509192645883294,0.864908073541167,0.8354531001589826,0.1952341137123746,0.5525745567708483,1.039711402982128
PGR,163.52999877929688,0,0.6650679456434853,0.33493205435651474,0.9006359300476947,0.9836956521739131,1.021853047851986,1.7401384275303693
PINS,34.11000061035156,1,0.9384215091066782,0.06157849089332179,0.7994858611825193,0.7459252157238735,0.43963786642864816,0.179847521777805
POOL,353.6000061035156,1,0.617505995203837,0.382494004796163,0.9117647058823529,0.3340301003344482,0.8263992082131205,2.013438854200676
PRI,212.4199981689453,1,0.7114308553157475,0.28856914468425254,0.9145468998410174,0.4665551839464883,0.7104692408687275,1.4328144096662119
PTCT,24.940000534057617,1,0.8689048760991207,0.1310951239008793,0.9574721780604134,0.26755852842809363,0.4504502786039815,1.781727851530082
PTON,5.900000095367432,1,0.7677543186180422,0.23224568138195778,0.78125,0.5429184549356223,0.01581527495628989,0.8263685264205802
PYPL,57.91999816894531,1,0.5439012814428097,0.4560987185571903,0.5582272512965583,0.21682523785678517,0.3349944089690965,2.461644429063937
QDEL,66.44000244140625,1,0.4284572342126299,0.5715427657873702,0.4435612082670906,0.2738294314381271,0.4515378667324912,1.8292554625163184
QLYS,184.7899932861328,1,0.890087929656275,0.10991207034372497,0.7225755166931638,0.8503344481605352,0.6990385946382663,2.4703765229140657
RBLX,40.66999816894531,1,0.9601181683899557,0.03988183161004433,0.808972503617945,0.8677248677248677,0.16979282015120356,1.5067289723260018
RGEN,154.5500030517578,1,0.434052757793765,0.565947242206235,0.4841017488076312,0.5025083612040134,0.7624158722112718,2.339720162858614
RIVN,17.40999984741211,1,0.6976284584980237,0.3023715415019763,0.6884615384615385,0.5606060606060606,-0.5620258381109454,2.6475561547769013
RMD,160.9499969482422,1,0.8249400479616307,0.17505995203836933,0.9797297297297297,0.11120401337792642,0.6039764595846677,1.8975496678642418
ROKU,105.19000244140625,1,0.9617627997407647,0.03823720025923527,0.9004495825305073,0.7592463363572924,0.6896509011743027,1.6706929631683867
RVLV,13.920000076293945,1,0.5040214477211796,0.4959785522788204,0.49338040600176525,0.4236868186323092,0.07089186588886123,1.4368191936268038
SAIA,418.8800048828125,1,0.5963229416466826,0.40367705835331735,0.7511923688394276,0.665133779264214,0.8259530637976564,1.7928985701219307
SAIC,131.75,1,0.9768185451638689,0.0231814548361311,0.996422893481717,0.6914715719063546,0.6532282717719601,0.8942686568982438
SAM,356.92999267578125,1,0.6946442845723422,0.3053557154276578,0.7205882352941176,0.5953177257525084,0.302873335516619,0.34589638385104315
SBUX,95.54000091552734,0,0.07633892885691447,0.9236610711430855,0.681637519872814,0.24414715719063546,0.5353876746986638,1.0991920274958868
SE,38.0,1,0.32481990831696134,0.6751800916830386,0.391304347826087,0.1834862385321101,0.5401765591796408,1.8065479591173323
SHOP,74.72000122070312,1,0.9200187090739008,0.07998129092609918,0.902370990237099,0.7218934911242604,1.015603169027039,3.0881934380773393
SMCI,262.9599914550781,0,0.2589928057553957,0.7410071942446044,0.16732909379968203,0.24372909698996656,0.7772366740135298,1.24749598171698
SNOW,186.16000366210938,1,0.972396486825596,0.027603513174404015,0.7891491985203453,0.7889374090247453,0.18071531633367363,2.4942794206568197
SPSC,185.8800048828125,1,0.8457234212629896,0.1542765787370104,0.9149443561208267,0.5267558528428093,0.6671312733585296,1.5067905308687002
SPWR,4.96999979019165,1,0.7450039968025579,0.2549960031974421,0.9030206677265501,0.17182274247491638,0.13848066542208268,0.6590125881590386
STE,198.5500030517578,0,0.10711430855315747,0.8928856914468425,0.6633545310015898,0.04096989966555184,0.7538119065406449,1.9173832258660228
STLA,21.989999771118164,1,0.9216626698641087,0.07833733013589128,0.996422893481717,0.7412207357859532,0.6942063875655081,1.5973076427046908
STZ,236.66000366210938,1,0.2641886490807354,0.7358113509192645,0.8104133545310016,0.11162207357859531,0.6494037137250974,1.2292860848916614
TASK,12.449999809265137,1,0.8872549019607843,0.11274509803921573,0.7460063897763578,0.9800796812749004,-0.05830213945625799,1.7570669113879598
TDG,955.510009765625,1,0.7557953637090328,0.24420463629096723,0.9391891891891891,0.5714882943143813,0.8623758758907759,2.112546867309255
TDOC,18.510000228881836,1,0.6739336492890995,0.3260663507109005,0.6773433820065945,0.298,0.31496787079606664,1.903007399116186
TEAM,190.6999969482422,1,0.5197796695042564,0.48022033049574364,0.5383084577114428,0.29517753047164813,0.7914352095255183,2.4180661314134215
TECH,64.37999725341797,1,0.63189448441247,0.36810551558753,0.9169316375198728,0.15677257525083613,0.5488916814242732,2.2182152308858085
